Game Number,Highest,Turns
1,64,91
2,64,96
3,128,147
4,32,68
5,32,74
6,64,86
7,64,127
8,32,62
9,128,102
10,32,48
11,32,68
12,32,68
13,64,79
14,64,81
15,128,131
16,128,121
17,64,68
18,64,89
19,32,56
20,128,117
21,32,67
22,128,116
23,64,80
24,64,88
25,16,44
26,64,75
27,32,59
28,64,117
29,64,78
30,64,83
31,64,67
32,32,48
33,64,76
34,128,147
35,128,145
36,64,79
37,64,91
38,64,74
39,64,95
40,64,102
41,64,102
42,32,71
43,128,131
44,128,112
45,64,80
46,32,56
47,64,95
48,64,105
49,64,98
50,128,96
51,128,145
52,64,99
53,64,77
54,64,93
55,64,63
56,64,83
57,32,78
58,64,104
59,16,46
60,64,75
61,64,85
62,64,85
63,32,71
64,64,70
65,32,58
66,64,86
67,64,97
68,32,61
69,128,91
70,64,68
71,128,111
72,64,85
73,32,72
74,64,85
75,64,105
76,64,109
77,32,48
78,64,70
79,128,122
80,128,146
81,128,122
82,32,55
83,64,71
84,64,88
85,64,71
86,64,102
87,128,122
88,128,133
89,128,121
90,64,70
91,64,87
92,64,76
93,64,75
94,64,81
95,64,117
96,64,96
97,64,76
98,128,118
99,64,81
100,64,67
